"","sample_id","condition","contig","average_coverage","p_adj","lab","normalized_reads","medium","experiment","gene_function","gene_type"
"143","A16","WW30","k121_671215_2",4.8,0.0415783333333333,"Kruskal-Wallis: *",0.0322194630876177,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"144","A16","WW30","k121_858589_5",2.441,0.005353,"Kruskal-Wallis: **",0.0163849394576823,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"145","A16","WW30","k121_1519353_3",6.613,0.0415783333333333,"Kruskal-Wallis: *",0.0443890227913367,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"146","A16","WW30","k121_252136_5",1.532,0.005353,"Kruskal-Wallis: **",0.0102833786354647,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"147","A16","WW30","k121_660679_2",1.041,0.048783,"Kruskal-Wallis: *",0.00698759605712709,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"148","A16","WW30","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"149","A16","WW30","k121_895379_1",2.438,0.0333973333333333,"Kruskal-Wallis: *",0.0163648022932525,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"150","A16","WW30","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"151","C141","WW30","k121_68825_2",1.128,0.048783,"Kruskal-Wallis: *",0.00842293290436511,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"152","C141","WW30","k121_1259309_2",3.004,0.0415783333333333,"Kruskal-Wallis: *",0.0224312858552418,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"153","C141","WW30","k121_671215_2",1.799,0.0415783333333333,"Kruskal-Wallis: *",0.0134333832402064,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"154","C141","WW30","k121_858589_5",12.12,0.005353,"Kruskal-Wallis: **",0.0905017258873272,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"155","C141","WW30","k121_1519353_3",3.019,0.0415783333333333,"Kruskal-Wallis: *",0.022543292941736,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"156","C141","WW30","k121_252136_5",96.684,0.005353,"Kruskal-Wallis: **",0.721952876707124,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"157","C141","WW30","k121_660679_2",1.203,0.048783,"Kruskal-Wallis: *",0.00898296833683619,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"158","C141","WW30","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"159","C141","WW30","k121_895379_1",3.88,0.0333973333333333,"Kruskal-Wallis: *",0.0289724997065041,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"160","C141","WW30","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"161","C142","WW80","k121_68825_2",2.119,0.048783,"Kruskal-Wallis: *",0.0129511588756859,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"162","C142","WW80","k121_1259309_2",5.452,0.0415783333333333,"Kruskal-Wallis: *",0.0333221888580648,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"163","C142","WW80","k121_671215_2",4.967,0.0415783333333333,"Kruskal-Wallis: *",0.0303579075674996,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"164","C142","WW80","k121_858589_5",12.248,0.005353,"Kruskal-Wallis: **",0.074858798447098,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"165","C142","WW80","k121_1519353_3",1.388,0.0415783333333333,"Kruskal-Wallis: *",0.00848334521918452,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"166","C142","WW80","k121_252136_5",226.231,0.005353,"Kruskal-Wallis: **",1.38270581576465,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"167","C142","WW80","k121_660679_2",0.868,0.048783,"Kruskal-Wallis: *",0.00530514672208369,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"168","C142","WW80","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"169","C142","WW80","k121_895379_1",2.883,0.0333973333333333,"Kruskal-Wallis: *",0.0176206658983494,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"170","C142","WW80","k121_906279_2",0.79,0.0467485714285714,"Kruskal-Wallis: *",0.00482841694751857,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"171","C143","WW80UF","k121_68825_2",0.281,0.048783,"Kruskal-Wallis: *",0.00307944854506686,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"172","C143","WW80UF","k121_1259309_2",0.917,0.0415783333333333,"Kruskal-Wallis: *",0.0100493036150403,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"173","C143","WW80UF","k121_671215_2",0.738,0.0415783333333333,"Kruskal-Wallis: *",0.00808766201515781,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"174","C143","WW80UF","k121_858589_5",0.676,0.005353,"Kruskal-Wallis: **",0.0074082107347516,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"175","C143","WW80UF","k121_1519353_3",1.503,0.0415783333333333,"Kruskal-Wallis: *",0.0164712141040409,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"176","C143","WW80UF","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"177","C143","WW80UF","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"178","C143","WW80UF","k121_1269806_2",5.38,0.048783,"Kruskal-Wallis: *",0.0589588369126681,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"179","C143","WW80UF","k121_895379_1",0.353,0.0333973333333333,"Kruskal-Wallis: *",0.00386848874166763,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"180","C143","WW80UF","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"181","C144","WW00","k121_68825_2",0.37,0.048783,"Kruskal-Wallis: *",0.00323916508471388,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"182","C144","WW00","k121_1259309_2",0.612,0.0415783333333333,"Kruskal-Wallis: *",0.00535775414012134,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"183","C144","WW00","k121_671215_2",0,0.0415783333333333,"Kruskal-Wallis: *",0,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"184","C144","WW00","k121_858589_5",0.338,0.005353,"Kruskal-Wallis: **",0.00295902107738728,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"185","C144","WW00","k121_1519353_3",5.698,0.0415783333333333,"Kruskal-Wallis: *",0.0498831423045938,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"186","C144","WW00","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"187","C144","WW00","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"188","C144","WW00","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"189","C144","WW00","k121_895379_1",1.031,0.0333973333333333,"Kruskal-Wallis: *",0.00902588973605409,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"190","C144","WW00","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"191","C145","WW30UF","k121_68825_2",0.39,0.048783,"Kruskal-Wallis: *",0.00301063964682943,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"192","C145","WW30UF","k121_1259309_2",0.881,0.0415783333333333,"Kruskal-Wallis: *",0.0068009577662993,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"193","C145","WW30UF","k121_671215_2",0.396,0.0415783333333333,"Kruskal-Wallis: *",0.00305695717985757,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"194","C145","WW30UF","k121_858589_5",0.277,0.005353,"Kruskal-Wallis: **",0.0021383261081327,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"195","C145","WW30UF","k121_1519353_3",5.841,0.0415783333333333,"Kruskal-Wallis: *",0.0450901184028992,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"196","C145","WW30UF","k121_252136_5",0.342,0.005353,"Kruskal-Wallis: **",0.00264009938260427,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"197","C145","WW30UF","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"198","C145","WW30UF","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"199","C145","WW30UF","k121_895379_1",0.69,0.0333973333333333,"Kruskal-Wallis: *",0.00532651629823668,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"200","C145","WW30UF","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"201","C146","WW30","k121_68825_2",1.46,0.048783,"Kruskal-Wallis: *",0.0108298755617627,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"202","C146","WW30","k121_1259309_2",1.988,0.0415783333333333,"Kruskal-Wallis: *",0.0147464332991673,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"203","C146","WW30","k121_671215_2",2.318,0.0415783333333333,"Kruskal-Wallis: *",0.0171942818850452,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"204","C146","WW30","k121_858589_5",5.805,0.005353,"Kruskal-Wallis: **",0.043059881942488,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"205","C146","WW30","k121_1519353_3",2.358,0.0415783333333333,"Kruskal-Wallis: *",0.0174909908045455,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"206","C146","WW30","k121_252136_5",130.067,0.005353,"Kruskal-Wallis: **",0.964800975816294,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"207","C146","WW30","k121_660679_2",2.038,0.048783,"Kruskal-Wallis: *",0.0151173194485427,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"208","C146","WW30","k121_1269806_2",0.126,0.048783,"Kruskal-Wallis: *",0.000934633096426097,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"209","C146","WW30","k121_895379_1",2.163,0.0333973333333333,"Kruskal-Wallis: *",0.0160445348219813,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"210","C146","WW30","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"211","C147","WW00","k121_68825_2",1.126,0.048783,"Kruskal-Wallis: *",0.00924108151512045,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"212","C147","WW00","k121_1259309_2",0.621,0.0415783333333333,"Kruskal-Wallis: *",0.00509654673258419,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"213","C147","WW00","k121_671215_2",0.331,0.0415783333333333,"Kruskal-Wallis: *",0.00271651685746436,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"214","C147","WW00","k121_858589_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"215","C147","WW00","k121_1519353_3",7.166,0.0415783333333333,"Kruskal-Wallis: *",0.058811358914168,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"216","C147","WW00","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"217","C147","WW00","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"218","C147","WW00","k121_1269806_2",0.142,0.048783,"Kruskal-Wallis: *",0.00116539393885178,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"219","C147","WW00","k121_895379_1",0.289,0.0333973333333333,"Kruskal-Wallis: *",0.00237182287555045,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"220","C147","WW00","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"221","C148","WW80UF","k121_68825_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"222","C148","WW80UF","k121_1259309_2",0.306,0.0415783333333333,"Kruskal-Wallis: *",0.00219165690078199,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"223","C148","WW80UF","k121_671215_2",1.434,0.0415783333333333,"Kruskal-Wallis: *",0.0102707058683705,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"224","C148","WW80UF","k121_858589_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"225","C148","WW80UF","k121_1519353_3",8.992,0.0415783333333333,"Kruskal-Wallis: *",0.0644031988621949,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"226","C148","WW80UF","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"227","C148","WW80UF","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"228","C148","WW80UF","k121_1269806_2",6.758,0.048783,"Kruskal-Wallis: *",0.0484026710309957,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"229","C148","WW80UF","k121_895379_1",1.237,0.0333973333333333,"Kruskal-Wallis: *",0.00885973721002392,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"230","C148","WW80UF","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"231","C149","WW80UF","k121_68825_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"232","C149","WW80UF","k121_1259309_2",0.687,0.0415783333333333,"Kruskal-Wallis: *",0.00544625797524015,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"233","C149","WW80UF","k121_671215_2",1.32,0.0415783333333333,"Kruskal-Wallis: *",0.0104644258039549,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"234","C149","WW80UF","k121_858589_5",0.568,0.005353,"Kruskal-Wallis: **",0.00450287413382301,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"235","C149","WW80UF","k121_1519353_3",7.43,0.0415783333333333,"Kruskal-Wallis: *",0.0589020331237763,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"236","C149","WW80UF","k121_252136_5",1.075,0.005353,"Kruskal-Wallis: **",0.00852216495397841,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"237","C149","WW80UF","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"238","C149","WW80UF","k121_1269806_2",4.928,0.048783,"Kruskal-Wallis: *",0.0390671896680982,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"239","C149","WW80UF","k121_895379_1",0.177,0.0333973333333333,"Kruskal-Wallis: *",0.00140318436916668,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"240","C149","WW80UF","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"241","C150","WW80","k121_68825_2",1.438,0.048783,"Kruskal-Wallis: *",0.0103904669561113,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"242","C150","WW80","k121_1259309_2",3.488,0.0415783333333333,"Kruskal-Wallis: *",0.0252030241605814,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"243","C150","WW80","k121_671215_2",4.958,0.0415783333333333,"Kruskal-Wallis: *",0.0358247115218356,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"244","C150","WW80","k121_858589_5",13.697,0.005353,"Kruskal-Wallis: **",0.0989695590388428,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"245","C150","WW80","k121_1519353_3",1.261,0.0415783333333333,"Kruskal-Wallis: *",0.00911152909016432,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"246","C150","WW80","k121_252136_5",194.734,0.005353,"Kruskal-Wallis: **",1.40707732422209,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"247","C150","WW80","k121_660679_2",0.404,0.048783,"Kruskal-Wallis: *",0.00291915761492973,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"248","C150","WW80","k121_1269806_2",0.144,0.048783,"Kruskal-Wallis: *",0.00104049182314327,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"249","C150","WW80","k121_895379_1",3.466,0.0333973333333333,"Kruskal-Wallis: *",0.0250440601320456,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"250","C150","WW80","k121_906279_2",0.672,0.0467485714285714,"Kruskal-Wallis: *",0.00485562850800192,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"251","C151","WW30","k121_68825_2",1.061,0.048783,"Kruskal-Wallis: *",0.00838277988340146,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"252","C151","WW30","k121_1259309_2",1.529,0.0415783333333333,"Kruskal-Wallis: *",0.0120803679940818,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"253","C151","WW30","k121_671215_2",3.519,0.0415783333333333,"Kruskal-Wallis: *",0.0278030182937698,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"254","C151","WW30","k121_858589_5",10.042,0.005353,"Kruskal-Wallis: **",0.0793401277937016,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"255","C151","WW30","k121_1519353_3",2.776,0.0415783333333333,"Kruskal-Wallis: *",0.0219327021265999,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"256","C151","WW30","k121_252136_5",106.199,0.005353,"Kruskal-Wallis: **",0.839060170440482,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"257","C151","WW30","k121_660679_2",2.431,0.048783,"Kruskal-Wallis: *",0.0192069160193675,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"258","C151","WW30","k121_1269806_2",0.164,0.048783,"Kruskal-Wallis: *",0.0012957360045974,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"259","C151","WW30","k121_895379_1",4.472,0.0333973333333333,"Kruskal-Wallis: *",0.0353325086131681,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"260","C151","WW30","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"261","C152","WW30UF","k121_68825_2",0.6,0.048783,"Kruskal-Wallis: *",0.0187253550920295,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"262","C152","WW30UF","k121_1259309_2",0,0.0415783333333333,"Kruskal-Wallis: *",0,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"263","C152","WW30UF","k121_671215_2",0,0.0415783333333333,"Kruskal-Wallis: *",0,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"264","C152","WW30UF","k121_858589_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"265","C152","WW30UF","k121_1519353_3",1.045,0.0415783333333333,"Kruskal-Wallis: *",0.0326133267852847,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"266","C152","WW30UF","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"267","C152","WW30UF","k121_660679_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"268","C152","WW30UF","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"269","C152","WW30UF","k121_895379_1",0,0.0333973333333333,"Kruskal-Wallis: *",0,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"270","C152","WW30UF","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"271","C153","WW80","k121_68825_2",0.2,0.048783,"Kruskal-Wallis: *",0.00979395094249149,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"272","C153","WW80","k121_1259309_2",0.765,0.0415783333333333,"Kruskal-Wallis: *",0.0374618623550299,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"273","C153","WW80","k121_671215_2",0.106,0.0415783333333333,"Kruskal-Wallis: *",0.00519079399952049,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"274","C153","WW80","k121_858589_5",0.609,0.005353,"Kruskal-Wallis: **",0.0298225806198866,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"275","C153","WW80","k121_1519353_3",0,0.0415783333333333,"Kruskal-Wallis: *",0,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"276","C153","WW80","k121_252136_5",45.679,0.005353,"Kruskal-Wallis: **",2.23688942551034,"Biofilm",2,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"277","C153","WW80","k121_660679_2",0.347,0.048783,"Kruskal-Wallis: *",0.0169925048852227,"Biofilm",2,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"278","C153","WW80","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",2,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"279","C153","WW80","k121_895379_1",0.353,0.0333973333333333,"Kruskal-Wallis: *",0.0172863234134975,"Biofilm",2,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"280","C153","WW80","k121_906279_2",0,0.0467485714285714,"Kruskal-Wallis: *",0,"Biofilm",2,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"281","C154","WW30UF","k121_68825_2",1.29,0.048783,"Kruskal-Wallis: *",0.00847319123673399,"Biofilm",2,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"282","C154","WW30UF","k121_1259309_2",1.223,0.0415783333333333,"Kruskal-Wallis: *",0.00803311076164781,"Biofilm",2,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"283","C154","WW30UF","k121_671215_2",0.581,0.0415783333333333,"Kruskal-Wallis: *",0.00381622023918019,"Biofilm",2,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"284","C154","WW30UF","k121_858589_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",2,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"285","C154","WW30UF","k121_1519353_3",9.926,0.0415783333333333,"Kruskal-Wallis: *",0.0651975939657531,"Biofilm",2,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
